713	0.00%	0.00%	0.67%	0.18%
714	0.00%	0.00%	0.54%	0.20%
715	0.00%	0.00%	0.44%	0.22%
716	0.00%	0.00%	0.36%	0.25%
717	0.00%	0.00%	0.29%	0.29%
718	0.00%	0.00%	0.24%	0.34%
719	0.00%	0.00%	0.20%	0.40%
720	0.00%	0.00%	0.17%	0.49%
721	0.00%	0.00%	0.14%	0.59%
722	0.00%	0.00%	0.12%	0.72%
723	0.00%	0.00%	0.10%	0.89%
724	0.00%	0.00%	0.08%	1.11%
725	0.00%	0.00%	0.07%	1.40%
726	0.01%	0.00%	0.06%	1.78%
727	0.01%	0.00%	0.05%	2.26%
728	0.01%	0.00%	0.04%	2.89%
729	0.01%	0.00%	0.03%	3.71%
730	0.01%	0.00%	0.03%	4.75%
731	0.02%	0.00%	0.02%	6.09%
732	0.02%	0.00%	0.02%	7.78%
733	0.02%	0.00%	0.02%	9.90%
734	0.03%	0.00%	0.01%	12.53%
735	0.04%	0.00%	0.01%	15.74%
736	0.05%	0.00%	0.01%	19.60%
737	0.06%	0.00%	0.01%	24.17%
738	0.07%	0.00%	0.01%	29.45%
739	0.08%	0.00%	0.01%	35.43%
740	0.09%	0.00%	0.00%	42.03%
741	0.10%	0.00%	0.00%	49.15%
742	0.10%	0.00%	0.00%	56.57%
743	0.10%	0.00%	0.00%	64.05%
744	0.10%	0.00%	0.00%	71.32%
745	0.09%	0.00%	0.00%	78.09%
746	0.09%	0.00%	0.00%	84.13%
747	0.08%	0.00%	0.00%	89.25%
748	0.07%	0.00%	0.00%	93.32%
749	0.06%	0.00%	0.00%	96.34%
